question_id,category,temporal_sensitive,method,faithfulness,answer_relevancy,context_precision,keyword_overlap,answer_length,has_statistics,avg_source_year,retrieve_ms,rerank_ms,generate_ms,total_ms
15,guidelines,True,sigmoid,0.0,0.9795,0.0,0.056,830,1,2022.6,578.27,3.34,5979.31,6621.5
15,guidelines,True,bioscore,0.3,0.0,0.0,0.111,1518,1,2023.4,239.15,12.79,10226.86,10540.1
16,risk_scores,False,no_decay,0.0,0.7783,0.0,0.429,1306,1,2021.0,275.37,0.55,11736.05,12052.8
16,risk_scores,False,etvd,0.1,1.0,0.0,0.524,1036,1,2021.0,227.08,0.53,8852.19,9142.4
16,risk_scores,False,sigmoid,0.0,0.9618,0.0,0.524,1127,1,2021.0,272.22,0.34,10644.46,10945.7
16,risk_scores,False,bioscore,0.0,1.0,0.0,0.476,1100,1,2021.6,202.91,2.53,8537.83,8793.2
17,treatment,True,no_decay,,0.9957,0.0,0.167,1708,1,2022.2,187.84,0.63,12446.88,12674.8
17,treatment,True,etvd,,,,0.167,2185,1,2022.2,605.77,0.55,14327.49,14976.9
17,treatment,True,sigmoid,0.8,0.9841,0.0,0.222,2093,1,2023.2,582.18,0.25,16001.35,16767.6
17,treatment,True,bioscore,0.5,1.0,0.0,0.222,1665,1,2023.6,393.01,7.11,11145.46,11693.0
18,risk_factors,False,no_decay,,0.9766,0.0,0.15,2116,1,2024.6,272.02,1.82,15059.84,15381.0
18,risk_factors,False,etvd,0.2222,0.894,0.0,0.25,2193,1,2024.6,225.14,0.48,14870.02,15149.9
18,risk_factors,False,sigmoid,0.6364,0.9503,0.5,0.2,1776,1,2023.6,202.26,3.3,11637.33,11916.5
18,risk_factors,False,bioscore,0.3529,0.8447,0.0,0.25,1801,1,2024.8,197.93,2.48,11612.71,11856.7
19,trials,True,no_decay,0.25,0.638,0.0,0.316,878,1,2024.2,267.54,0.51,7342.73,7681.1
19,trials,True,etvd,,,,0.316,913,1,2024.2,168.0,0.54,8138.75,8352.5
19,trials,True,sigmoid,0.1667,0.9609,0.0,0.316,826,1,2023.8,492.04,0.24,7670.32,8419.8
19,trials,True,bioscore,,,0.0,0.316,1049,1,2024.8,1691.65,391.86,9487.01,11766.5
20,treatment,False,no_decay,0.2222,0.8743,0.0,0.238,1182,1,2023.8,330.74,1.72,10257.7,10645.1
20,treatment,False,etvd,0.2222,0.8617,0.0,0.143,1266,1,2023.8,638.72,0.19,9622.26,10313.1
20,treatment,False,sigmoid,0.25,0.9334,0.0,0.143,1155,1,2023.2,241.86,0.71,8558.5,8844.5
20,treatment,False,bioscore,0.2222,0.8611,0.0,0.143,975,1,2023.8,235.25,1.05,7299.37,7589.0
21,guidelines,True,no_decay,0.0,0.8397,0.0,0.158,962,1,2022.6,271.35,0.61,9296.09,9627.0
21,guidelines,True,etvd,,,,0.211,1292,1,2022.6,283.5,0.57,11273.86,11619.9
21,guidelines,True,sigmoid,,,,0.316,1095,1,2022.6,238.6,0.63,9853.59,10139.3
21,guidelines,True,bioscore,0.0,0.9727,0.0,0.211,1403,1,2023.6,727.12,0.75,14163.13,15146.5
22,biomarkers,False,no_decay,0.8125,0.9264,,0.25,1485,1,2022.6,1740.37,12.15,12359.63,14244.1
22,biomarkers,False,etvd,0.9444,1.0,1.0,0.2,1551,1,2022.6,229.97,0.49,17132.91,17418.7
22,biomarkers,False,sigmoid,0.0,1.0,0.0,0.25,2211,1,2022.8,250.76,4.32,22905.77,23204.4
22,biomarkers,False,bioscore,0.2941,0.908,0.25,0.3,1889,1,2024.2,233.88,13.66,20182.63,20479.4
23,trials,True,no_decay,0.0,0.8538,0.0,0.3,1917,1,2023.2,245.92,0.46,19678.02,19977.5
23,trials,True,etvd,0.0,0.9612,0.0,0.3,1489,1,2023.2,221.47,0.24,18238.37,18512.6
23,trials,True,sigmoid,,,,0.35,1681,1,2023.2,202.63,0.58,15301.75,15545.2
23,trials,True,bioscore,,0.97,0.0,0.35,2188,1,2023.2,629.62,2.5,18772.13,19459.5
24,devices,True,no_decay,,0.9704,,0.1,1632,1,2022.8,221.66,0.48,13958.75,14237.7
24,devices,True,etvd,0.6471,0.9201,0.0,0.15,2085,1,2022.8,448.78,0.23,15353.55,15941.7
24,devices,True,sigmoid,,0.9477,0.0,0.15,2169,1,2022.8,644.85,2.62,14334.99,15157.1
24,devices,True,bioscore,0.6471,0.9509,0.0,0.15,2039,1,2024.2,189.13,5.29,13167.61,13414.9
25,prevention,False,no_decay,0.0,0.9798,0.0,0.222,1730,1,2024.0,265.7,1.09,12871.5,13202.8
25,prevention,False,etvd,0.0,0.9387,0.0,0.111,1580,1,2024.0,237.28,0.48,11236.99,11519.7
25,prevention,False,sigmoid,0.0,0.9682,0.0,0.056,1366,1,2023.2,233.36,0.25,10878.52,11166.8
25,prevention,False,bioscore,0.0,0.9769,0.0,0.111,1519,1,2024.0,219.39,2.25,13257.08,13521.9
26,treatment,True,no_decay,0.0,1.0,0.0,0.316,1702,1,2022.4,260.05,0.35,13306.43,13619.8
26,treatment,True,etvd,0.0,0.983,0.0,0.263,2196,1,2022.4,209.73,0.54,16430.98,16700.1
26,treatment,True,sigmoid,0.0,0.6904,0.0,0.211,1383,1,2022.4,592.56,0.68,10350.41,10991.5
26,treatment,True,bioscore,,,,0.158,1584,1,2022.6,204.13,2.01,12683.03,12944.2
27,biomarkers,False,no_decay,0.1111,0.9596,0.0,0.267,1007,1,2024.2,1152.5,0.16,8987.09,10174.9
27,biomarkers,False,etvd,0.0,0.915,0.0,0.333,1496,1,2024.2,1588.94,129.06,13157.82,15747.5
27,biomarkers,False,sigmoid,0.0,0.9591,0.0,0.267,1180,1,2024.2,193.32,1.51,9866.55,10107.8
27,biomarkers,False,bioscore,0.0,0.9678,0.0,0.267,986,1,2024.4,238.49,9.09,8593.87,8891.0
28,prevention,False,no_decay,0.25,0.9744,0.0,0.238,1263,1,2024.2,221.15,0.55,8706.07,8977.9
28,prevention,False,etvd,0.1667,0.9744,0.0,0.286,1691,1,2024.2,190.91,0.56,10981.61,11239.3
28,prevention,False,sigmoid,0.1579,0.9751,0.0,0.333,1462,1,2024.0,222.17,0.39,9047.36,9320.9
28,prevention,False,bioscore,0.6111,0.9573,0.0,0.238,1677,1,2024.4,218.92,1.96,12559.39,12841.5
29,guidelines,True,no_decay,0.1667,0.0,,0.318,1525,1,2022.4,298.42,0.55,13488.72,13827.1
29,guidelines,True,etvd,0.0833,0.0,0.0,0.182,1024,1,2022.4,223.41,0.5,9763.31,10029.1
29,guidelines,True,sigmoid,,,0.0,0.182,1158,1,2022.2,210.75,0.58,11078.92,11344.0
29,guidelines,True,bioscore,0.0,0.9706,0.0,0.318,1631,1,2022.4,251.12,3.08,13652.42,13965.7
30,biomarkers,False,no_decay,0.1818,0.9882,,0.238,1784,1,2024.2,644.11,2.1,12477.5,13279.2
30,biomarkers,False,etvd,,0.9882,,0.333,1808,1,2024.2,233.82,0.58,13632.48,13916.2
30,biomarkers,False,sigmoid,,,,0.238,1727,1,2023.6,233.21,2.38,12276.78,12563.5
30,biomarkers,False,bioscore,0.0,0.9632,0.0,0.238,1688,1,2024.2,271.11,8.56,12462.85,12794.9
